,CARGO VARIABLE R1 ( consumo en kWH-Mes hasta 100),"1,4420",$/kWh
0,CARGO FIJO R2 ( 100 < consumo en kWH-Mes ≤ 150),"93,72",$/mes
1,CARGO VARIABLE R2 ( 100 < consumo en kWH-Mes ≤ 150 o primeros 150),"1,5568",$/kWh
2,CARGO FIJO R2 ( 150 < consumo en kWH-Mes ≤ 200),"241,00",$/mes
3,CARGO VARIABLE R2 ( 150 < consumo en kWH-Mes ≤ 200),"4,5760",$/kWh
4,CARGO FIJO R3 ( 200 < consumo en kWH-Mes ≤ 300),"328,64",$/mes
5,CARGO VARIABLE R3 ( 200 < consumo en kWH-Mes ≤ 300 o siguientes 150),"5,0520",$/kWh
6,CARGO FIJO R3 ( 300 < consumo en kWH-Mes ≤ 400),"328,64",$/mes
7,CARGO VARIABLE R3 (300 < consumo en kWH-Mes ≤ 400 ),"6,8369",$/kWh
8,CARGO FIJO R4  ( 400 < consumo en kWH-Mes ≤ 500),"407,96",$/mes
9,CARGO VARIABLE R4 ( 400 < consumo en kWH-Mes ≤ 500),"7,2185",$/kWh
10,CARGO FIJO R5,"654,29",$/mes
11,CARGO VARIABLE R5 ( 500 < consumo en kWH-Mes ≤ 700),"7,5246",$/kWh
12,CARGO FIJO R6,"1.059,22",$/mes
13,CARGO VARIABLE R6 ( 700 < consumo en kWH-Mes ≤ 1400),"7,9697",$/kWh
14,CARGO FIJO R7,"1.292,99",$/mes
15,CARGO VARIABLE R7(consumo en kWH-Mes > 1400),"8,5754",$/kWh
16,ANDES DEMANDAS,,
17,T - SUMINISTROS EN BAJA TENSIÓN,,
18,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),,
19,CARGO FIJO,"1.398,26",$/mes
20,CARGO POR POTENCIA EN PICO,"239,67",$/kW-mes
21,CARGO POR POTENCIA FUERA PICO,"102,72",$/kW-mes
22,GOS VARIABLES,,
23,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4R.),,
24,Consumo en kWH-Mes primeros 150,,
25,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,3737",$/kWh
26,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,3737",$/kWh
27,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,3737",$/kWh
28,Consumo en kWH-Mes siguientes 150,,
29,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2,0415",$/kWh
30,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"1,9626",$/kWh
31,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"1,8832",$/kWh
32,Consumo en kWH-Mes excedente a 300,,
33,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"3,7093",$/kWh
34,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"3,5515",$/kWh
35,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"3,3927",$/kWh
36,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales),,
37,Consumo en kWH-Mes primeros 150,,
38,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,3737",$/kWh
39,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,3737",$/kWh
40,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,3737",$/kWh
41,Consumo en kWH-Mes siguientes 150,,
42,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2,0415",$/kWh
43,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"1,9626",$/kWh
44,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"1,8832",$/kWh
45,Consumo en kWH-Mes excedente a 300,,
46,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"3,7093",$/kWh
47,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"3,5515",$/kWh
48,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"3,3927",$/kWh
49,T - SUMINISTROS EN MEDIA TENSIÓN,,
50,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),,
51,CARGO FIJO,"2.118,59",$/mes
52,CARGO POR POTENCIA EN PICO,"155,14",$/kW-mes
