,CARGO FIJO T4R3,"1.126,31 $/mes"
0,CARGO VARIABLE T4R3 ( 700 < consumo en kWH-Mes ≤ 1400),"19,1372 $/kWh"
1,CARGO FIJO T4R4,"1.275,67 $/mes"
2,CARGO VARIABLE T4R4(consumo en kWH-Mes > 1400),"19,5574 $/kWh"
3,R- PEQUEÑAS DEMANDAS RURALES NO RESIDENCIALES,
4,CARGO FIJO T4NR1,"665,39 $/mes"
5,CARGO VARIABLE T4NR1 (consumo en kWH-Mes ≤ 500),"18,8531 $/kWh"
6,CARGO FIJO T4NR2,"891,61 $/mes"
7,CARGO VARIABLE T4NR2 ( 500 < consumo en kWH-Mes ≤ 700),"19,1645 $/kWh"
8,CARGO FIJO T4NR3,"1.126,31 $/mes"
9,CARGO VARIABLE T4NR3 ( 700 < consumo en kWH-Mes ≤ 1400),"19,4069 $/kWh"
10,CARGO FIJO T4NR4,"1.275,67 $/mes"
11,CARGO VARIABLE T4NR4(consumo en kWH-Mes > 1400),"19,9041 $/kWh"
12,TABLA DE PERDIDAS DE TRANSFORMACION CLIENTES RURALES,
13,5 KVA monofásico,27 kWh/mes
14,10 KVA monofásico,43 kWh/mes
15,15 KVA monofásico,52 kWh/mes
16,16 KVA monofásico,57 kWh/mes
17,10 KVA trifásico,70 kWh/mes
18,15 KVA trifásico,86 kWh/mes
19,16 KVA trifásico,91 kWh/mes
20,20 KVA trifásico,108 kWh/mes
21,25 KVA trifásico,124 kWh/mes
22,30 KVA trifásico,136 kWh/mes
23,40 KVA trifásico,166 kWh/mes
24,50 KVA trifásico,186 kWh/mes
25,63 KVA trifásico,216 kWh/mes
26,100 KVA trifásico,251 kWh/mes
