,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,5521",$/kWh
0,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,5516",$/kWh
1,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,5516",$/kWh
2,USUARIOS FINALES Suministros Mayor o igual a 300 kW de Demanda,,
3,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,5519",$/kWh
4,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,5514",$/kWh
5,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,5511",$/kWh
6,T - SUMINISTROS EN ALTA TENSIÓN,,
7,CARGO FIJO,,$/mes
8,CARGO POR POTENCIA EN PICO,,$/kW-mes
9,CARGO POR POTENCIA FUERA PICO,,$/kW-mes
10,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,,$/kWh
11,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,,$/kWh
12,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,,$/kWh
13,RVICIO DE PEAJE A USUARIOS DE MEDIANAS DEMANDAS,,
14,T - SUMINISTROS EN BAJA TENSIÓN,,
15,CARGO FIJO,"896,44",$/mes
16,CARGO POR POTENCIA EN PICO,"240,68",$/kW-mes
17,CARGO POR POTENCIA FUERA PICO,"103,15",$/kW-mes
18,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"1,0354",$/kWh
19,CARGO VARIABLE POR ENERGÍA DEMANDADA FUERA DE PICO,"1,0358",$/kWh
20,T - SUMINISTROS EN MEDIA TENSIÓN,,
21,CARGO FIJO,"1.775,88",$/mes
22,CARGO POR POTENCIA EN PICO,"145,36",$/kW-mes
23,CARGO POR POTENCIA FUERA PICO,"6 2,25",$/kW-mes
24,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,6768",$/kWh
25,CARGO VARIABLE POR ENERGÍA DEMANDADA FUERA DE PICO,"0,6774",$/kWh
