,CARGO FIJO R1,Unnamed: 0,"117,35",$/mes
0,CARGO VARIABLE R1(consumo en kWH-Mes ≤ 100),,"12,6306",$/kWh
1,CARGO FIJO R2,,"179,59",$/mes
2,CARGO VARIABLE R2 ( 100 < consumo en kWH-Mes ≤ 200),,"12,7567",$/kWh
3,CARGO FIJO R3,,"244,89",$/mes
4,CARGO VARIABLE R3 ( 200 < consumo en kWH-Mes ≤ 400),,"13,0456",$/kWh
5,CARGO FIJO R4,,"303,99",$/mes
6,CARGO VARIABLE R4 ( 400 < consumo en kWH-Mes ≤ 500),,"13,2647",$/kWh
7,CARGO FIJO R5,,"487,55",$/mes
8,CARGO VARIABLE R5 ( 500 < consumo en kWH-Mes ≤ 700),,"13,4928",$/kWh
9,CARGO FIJO R6,,"789,29",$/mes
10,CARGO VARIABLE R6 ( 700 < consumo en kWH-Mes ≤ 1400),,"13,8245",$/kWh
11,CARGO FIJO R7,,"963,48",$/mes
12,CARGO VARIABLE R7(consumo en kWH-Mes > 1400),,"14,2758",$/kWh
13,E - RESIDENCIAL ESTACIONAL,,,
14,CARGO FIJO RE1,,"478,13",$/mes
15,CARGO VARIABLE RE1 (consumo en kWH-Mes ≤ 500),,"14,1090",$/kWh
16,CARGO FIJO RE2,,"540,35",$/mes
17,CARGO VARIABLE RE2 ( 500 < consumo en kWH-Mes ≤ 700),,"14,4411",$/kWh
18,CARGO FIJO RE3,,"605,68",$/mes
19,CARGO VARIABLE RE3 ( 700 < consumo en kWH-Mes ≤ 1400),,"14,7020",$/kWh
20,CARGO FIJO RE4,,"664,78",$/mes
21,CARGO VARIABLE RE4 (consumo en kWH-Mes > 1400),,"15,1621",$/kWh
22,- SERVICIO GENERAL BAJOS CONSUMOS,,,
23,CARGO FIJO GBC,,"471,62",$/mes
24,CARGO VARIABLE GBC (consumo en kWH-Mes ≤ 1000),,"14,7903",$/kWh
25,- SERVICIO GENERAL ALTOS CONSUMOS,,,
26,CARGO FIJO GAC1,,"2.474,67",$/mes
27,CARGO VARIABLE  ( 1000 < consumo en kWH-Mes < 2000),,"13,3193",$/kWh
28,CARGO FIJO GAC2,,"3.140,35",$/mes
29,CARGO VARIABLE  (  consumo en kWH-Mes >= 2000),,"13,3333",$/kWh
30,E - SERVICIO GENERAL ESTACIONAL,,,
31,CARGO FIJO GE1,,"798,47",$/mes
32,CARGO VARIABLE GE1 ( 0 < consumo en kWH-Mes < 2000),,"15,4296",$/kWh
33,CARGO FIJO GE2,,"964,24",$/mes
34,CARGO VARIABLE GE2 (  consumo en kWH-Mes >= 2000),,"16,9096",$/kWh
35,P - ALUMBRADO PÚBLICO,,,
36,CARGO FIJO,,"208,32",$/factura
37,CARGO VARIABLE,,"12,3403",$/kWh
38,EDIANAS DEMANDAS (de 10 kW a menos de 50 kW de demanda),,,
39,T -SUMINISTROS EN BAJA TENSIÓN,,,
40,CARGO FIJO,,"1.271,43",$/mes
41,CARGO POR POTENCIA EN PICO,,"472,36",$/kW-mes
42,CARGO POR POTENCIA FUERA PICO,,"304,19",$/kW-mes
43,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,,"9,2349",$/kWh
44,CARGO VARIABLE POR ENERGÍA DEMANDADA FUERA DE PICO,,"9,2708",$/kWh
45,T - SUMINISTROS EN MEDIA TENSIÓN,,,
46,CARGO FIJO,,"1.926,41",$/mes
47,CARGO POR POTENCIA EN PICO,,"378,62",$/kW-mes
48,CARGO POR POTENCIA FUERA PICO,,"264,03",$/kW-mes
49,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,,"9,0170",$/kWh
50,CARGO VARIABLE POR ENERGÍA DEMANDADA FUERA DE PICO,,"9,0487",$/kWh
51,RANDES DEMANDAS,,,
52,T - SUMINISTROS EN BAJA TENSIÓN,,,
53,SUMINISTROS >= a 50 kW de demanda (Usuarios Finales),,,
54,CARGO FIJO,,"1.233,19",$/mes
55,CARGO POR POTENCIA EN PICO,,"640,51",$/kW-mes
56,CARGO POR POTENCIA FUERA PICO,,"376,24",$/kW-mes
57,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),,,
58,CARGO FIJO,,"1.041,92",$/mes
