,CARGO POR POTENCIA EN PICO,"440,49 $/kW-mes"
0,CARGO POR POTENCIA FUERA PICO,"250,92 $/kW-mes"
1,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),
2,CARGO FIJO,"208,44 $/mes"
3,CARGO POR POTENCIA EN PICO,"151,18 $/kW-mes"
4,CARGO POR POTENCIA FUERA PICO,"6 8,82 $/kW-mes"
5,GOS VARIABLES,
6,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4R.),
7,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,5547 $/kWh"
8,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,5543 $/kWh"
9,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,5540 $/kWh"
10,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4NR.),
11,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,5547 $/kWh"
12,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,5543 $/kWh"
13,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,5540 $/kWh"
14,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales),
15,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,5547 $/kWh"
16,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,5543 $/kWh"
17,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,5540 $/kWh"
18,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.No Res),
19,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,5547 $/kWh"
20,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,5543 $/kWh"
21,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,5540 $/kWh"
22,DISTRIBUIDORES MUNICIPALES(Alumbrado Público),
23,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,5547 $/kWh"
24,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,5543 $/kWh"
25,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,5540 $/kWh"
26,DIST. MUNICIPALES (Usuarios finales Suministros entre 10 y 300kW de Demanda),
27,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,5547 $/kWh"
28,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,5543 $/kWh"
29,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,5540 $/kWh"
30,DIST. MUNICIPALES (Usuarios finales Suministros Mayor o igual a 300 kW de Demanda),
31,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,5547 $/kWh"
32,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,5543 $/kWh"
33,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,5540 $/kWh"
34,USUARIOS FINALES Suministros entre 50 y 300kW de Demanda,
35,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,5547 $/kWh"
36,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,5544 $/kWh"
37,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,5541 $/kWh"
38,USUARIOS FINALES Suministros Mayor a 300 kW de Demanda,
39,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,5549 $/kWh"
40,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,5545 $/kWh"
41,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,5543 $/kWh"
42,T - SUMINISTROS EN MEDIA TENSIÓN,
43,SUMINISTROS >= a 50 kW de demanda (Usuarios Finales),
44,CARGO FIJO,"395,00 $/mes"
45,CARGO POR POTENCIA EN PICO,"276,54 $/kW-mes"
46,CARGO POR POTENCIA FUERA PICO,"180,44 $/kW-mes"
47,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),
48,CARGO FIJO,"315,74 $/mes"
49,CARGO POR POTENCIA EN PICO,"9 5,97 $/kW-mes"
50,CARGO POR POTENCIA FUERA PICO,"4 1,13 $/kW-mes"
51,GOS VARIABLES,
52,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4R.),
53,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,3362 $/kWh"
54,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,3360 $/kWh"
55,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,3357 $/kWh"
56,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4NR.),
57,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,3362 $/kWh"
58,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,3360 $/kWh"
59,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,3357 $/kWh"
60,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales),
61,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,3362 $/kWh"
62,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,3360 $/kWh"
63,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,3357 $/kWh"
64,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.No Res),
65,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,3362 $/kWh"
66,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,3360 $/kWh"
67,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,3357 $/kWh"
68,DISTRIBUIDORES MUNICIPALES(Alumbrado Público),
69,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,3362 $/kWh"
70,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,3360 $/kWh"
71,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,3357 $/kWh"
72,DIST. MUNICIPALES (Usuarios finales Suministros entre 10 y 300kW de Demanda),
73,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,3362 $/kWh"
74,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,3360 $/kWh"
75,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,3357 $/kWh"
76,DIST. MUNICIPALES (Usuarios finales Suministros Mayor o igual a 300 kW de Demanda),
77,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,3362 $/kWh"
78,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,3360 $/kWh"
79,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,3357 $/kWh"
80,USUARIOS FINALES Suministros entre 50 y 300kW de Demanda,
81,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,3367 $/kWh"
82,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,3363 $/kWh"
83,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,3363 $/kWh"
84,USUARIOS FINALES Suministros Mayor a 300 kW de Demanda,
85,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,3365 $/kWh"
86,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,3362 $/kWh"
87,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,3359 $/kWh"
