,CARGO VARIABLE R7(consumo en kWH-Mes > 1400),Unnamed: 0,"8,9426",$/kWh
0,E - RESIDENCIAL ESTACIONAL,,,
1,CARGO FIJO RE1,,"706,92",$/mes
2,CARGO VARIABLE RE1 (consumo en kWH-Mes ≤ 500),,"5,6632",$/kWh
3,CARGO FIJO RE2,,"800,07",$/mes
4,CARGO VARIABLE RE2 ( 500 < consumo en kWH-Mes ≤ 700),,"6,1389",$/kWh
5,CARGO FIJO RE3,,"897,90",$/mes
6,CARGO VARIABLE RE3 ( 700 < consumo en kWH-Mes ≤ 1400),,"6,4789",$/kWh
7,CARGO FIJO RE4,,"986,38",$/mes
8,CARGO VARIABLE RE4 (consumo en kWH-Mes > 1400),,"7,1576",$/kWh
9,- SERVICIO GENERAL BAJOS CONSUMOS,,,
10,CARGO FIJO GBC,,"684,33",$/mes
11,CARGO VARIABLE GBC (consumo en kWH-Mes ≤ 1000),,"10,5655",$/kWh
12,- SERVICIO GENERAL ALTOS CONSUMOS,,,
13,CARGO FIJO GAC1,,"3.253,19",$/mes
14,CARGO VARIABLE  ( 1000 < consumo en kWH-Mes < 2000),,"8,7480",$/kWh
15,CARGO FIJO GAC2,,"4.249,88",$/mes
16,CARGO VARIABLE  (  consumo en kWH-Mes >= 2000),,"8,7663",$/kWh
17,E - SERVICIO GENERAL ESTACIONAL,,,
18,CARGO FIJO GE1,,"1.200,21",$/mes
19,CARGO VARIABLE GE1 ( 0 < consumo en kWH-Mes < 2000),,"8,3019",$/kWh
20,CARGO FIJO GE2,,"2.201,91",$/mes
21,CARGO VARIABLE GE2 (  consumo en kWH-Mes >= 2000),,"9,5840",$/kWh
22,P - ALUMBRADO PÚBLICO,,,
23,CARGO FIJO,,"313,53",$/factura
24,CARGO VARIABLE,,"8,9269",$/kWh
25,EDIANAS DEMANDAS (de 10 kW a menos de 50 kW de demanda),,,
26,T -SUMINISTROS EN BAJA TENSIÓN,,,
27,CARGO FIJO,,"1.957,87",$/mes
28,CARGO POR POTENCIA EN PICO,,"464,01",$/kW-mes
29,CARGO POR POTENCIA FUERA PICO,,"347,91",$/kW-mes
30,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,,"5,4294",$/kWh
31,CARGO VARIABLE POR ENERGÍA DEMANDADA FUERA DE PICO,,"5,2470",$/kWh
32,T - SUMINISTROS EN MEDIA TENSIÓN,,,
33,CARGO FIJO,,"2.966,53",$/mes
34,CARGO POR POTENCIA EN PICO,,"293,01",$/kW-mes
35,CARGO POR POTENCIA FUERA PICO,,"274,64",$/kW-mes
36,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,,"5,3060",$/kWh
37,CARGO VARIABLE POR ENERGÍA DEMANDADA FUERA DE PICO,,"5,1305",$/kWh
