,CARGO VARIABLE T4R1 (consumo en kWH-Mes  primeros 150),"1,4334 $/kWh"
0,CARGO FIJO T4R1,"660,31 $/mes"
1,CARGO VARIABLE T4R1 (150 < consumo en kWH-Mes ≤ 300),"3,9950 $/kWh"
2,CARGO FIJO T4R1,"660,31 $/mes"
3,CARGO VARIABLE T4R1 (300 < consumo en kWH-Mes ≤ 500),"5,5915 $/kWh"
4,CARGO FIJO T4R2,"907,16 $/mes"
5,CARGO VARIABLE T4R2 ( 500 < consumo en kWH-Mes ≤ 700),"5,9479 $/kWh"
6,CARGO FIJO T4R3,"1.163,31 $/mes"
7,CARGO VARIABLE T4R3 ( 700 < consumo en kWH-Mes ≤ 1400),"6,2630 $/kWh"
8,CARGO FIJO T4R4,"1.326,32 $/mes"
9,CARGO VARIABLE T4R4(consumo en kWH-Mes > 1400),"6,7578 $/kWh"
10,TABLA DE PERDIDAS DE TRANSFORMACION CLIENTES RURALES,
11,5 KVA monofásico,27 kWh/mes
12,10 KVA monofásico,43 kWh/mes
13,15 KVA monofásico,52 kWh/mes
14,16 KVA monofásico,57 kWh/mes
15,10 KVA trifásico,70 kWh/mes
16,15 KVA trifásico,86 kWh/mes
17,16 KVA trifásico,91 kWh/mes
18,20 KVA trifásico,108 kWh/mes
19,25 KVA trifásico,124 kWh/mes
20,30 KVA trifásico,136 kWh/mes
21,40 KVA trifásico,166 kWh/mes
22,50 KVA trifásico,186 kWh/mes
23,63 KVA trifásico,216 kWh/mes
24,100 KVA trifásico,251 kWh/mes
25,RVICIO DE PEAJE( para Distribuidores Municipales),
26,T - SUMINISTROS EN BAJA TENSIÓN,
27,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),
28,CARGO FIJO,"307,40 $/mes"
29,CARGO POR POTENCIA EN PICO,"188,92 $/kW-mes"
30,CARGO POR POTENCIA FUERA PICO,"8 0,97 $/kW-mes"
31,GOS VARIABLES,
32,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4R.),
33,Consumo en kWH-Mes primeros 150,
34,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,0231 $/kWh"
35,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,0231 $/kWh"
36,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0231 $/kWh"
37,Consumo en kWH-Mes siguientes 150,
38,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1264 $/kWh"
39,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1215 $/kWh"
40,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,1166 $/kWh"
41,Consumo en kWH-Mes excedente a 300,
42,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,2297 $/kWh"
43,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,2199 $/kWh"
44,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,2101 $/kWh"
45,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales),
46,Consumo en kWH-Mes primeros 150,
47,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,0231 $/kWh"
48,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,0231 $/kWh"
49,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0231 $/kWh"
50,Consumo en kWH-Mes siguientes 150,
51,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1264 $/kWh"
52,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1215 $/kWh"
53,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,1166 $/kWh"
54,Consumo en kWH-Mes excedente a 300,
55,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,2297 $/kWh"
56,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,2199 $/kWh"
57,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,2101 $/kWh"
58,T - SUMINISTROS EN MEDIA TENSIÓN,
59,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),
60,CARGO FIJO,"486,22 $/mes"
61,CARGO POR POTENCIA EN PICO,"9 2,44 $/kW-mes"
62,CARGO POR POTENCIA FUERA PICO,"3 9,63 $/kW-mes"
63,GOS VARIABLES,
64,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4R.),
65,Consumo en kWH-Mes primeros 150,
66,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,0140 $/kWh"
67,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,0140 $/kWh"
68,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0140 $/kWh"
69,Consumo en kWH-Mes siguientes 150,
70,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,0766 $/kWh"
71,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,0736 $/kWh"
72,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0707 $/kWh"
73,Consumo en kWH-Mes excedente a 300,
74,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1392 $/kWh"
75,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1333 $/kWh"
76,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0 ,1273 $/kWh"
77,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales),
78,Consumo en kWH-Mes primeros 150,
