,CARGO FIJO GAC1,"3.486,20 $/mes"
0,CARGO VARIABLE  ( 1000 < consumo en kWH-Mes < 2000),"21,0695 $/kWh"
1,CARGO FIJO GAC2,"4.482,90 $/mes"
2,CARGO VARIABLE  (  consumo en kWH-Mes >= 2000),"21,0878 $/kWh"
3,E - SERVICIO GENERAL ESTACIONAL,
4,CARGO FIJO GE1,"1.200,21 $/mes"
5,CARGO VARIABLE GE1 ( 0 < consumo en kWH-Mes < 2000),"22,8185 $/kWh"
6,CARGO FIJO GE2,"2.201,91 $/mes"
7,CARGO VARIABLE GE2 (  consumo en kWH-Mes >= 2000),"25,7823 $/kWh"
8,P - ALUMBRADO PÚBLICO,
9,CARGO FIJO,"313,53 $/factura"
10,CARGO VARIABLE,"20,6260 $/kWh"
11,DIANAS DEMANDAS (de 10 kW a menos de 50 kW de demanda),
12,T -SUMINISTROS EN BAJA TENSIÓN,
13,CARGO FIJO,"1.957,87 $/mes"
14,CARGO POR POTENCIA EN PICO,"612,95 $/kW-mes"
15,CARGO POR POTENCIA FUERA PICO,"411,74 $/kW-mes"
16,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"15,3795 $/kWh"
17,CARGO VARIABLE POR ENERGÍA DEMANDADA FUERA DE PICO,"15,4381 $/kWh"
18,T - SUMINISTROS EN MEDIA TENSIÓN,
19,CARGO FIJO,"2.966,53 $/mes"
20,CARGO POR POTENCIA EN PICO,"435,61 $/kW-mes"
21,CARGO POR POTENCIA FUERA PICO,"335,76 $/kW-mes"
22,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"15,0134 $/kWh"
23,CARGO VARIABLE POR ENERGÍA DEMANDADA FUERA DE PICO,"15,0729 $/kWh"
24,ANDES DEMANDAS,
25,T - SUMINISTROS EN BAJA TENSIÓN,
26,SUMINISTROS >= a 50 kW de demanda (Usuarios Finales),
27,CARGO FIJO,"1.899,00 $/mes"
28,CARGO POR POTENCIA EN PICO,"859,50 $/kW-mes"
29,CARGO POR POTENCIA FUERA PICO,"517,44 $/kW-mes"
30,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),
31,CARGO FIJO,"1.604,48 $/mes"
32,CARGO POR POTENCIA EN PICO,"444,33 $/kW-mes"
33,CARGO POR POTENCIA FUERA PICO,"190,43 $/kW-mes"
34,GOS VARIABLES,
35,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4R.),
36,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"14,9588 $/kWh"
37,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"14,9513 $/kWh"
38,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"14,9449 $/kWh"
39,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4NR.),
40,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"14,9588 $/kWh"
41,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"14,9513 $/kWh"
42,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"14,9449 $/kWh"
43,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales),
44,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"14,9588 $/kWh"
45,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"14,9513 $/kWh"
46,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"14,9449 $/kWh"
47,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.No Res),
48,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"14,9588 $/kWh"
49,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"14,9513 $/kWh"
50,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"14,9449 $/kWh"
51,DISTRIBUIDORES MUNICIPALES(Alumbrado Público),
52,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"14,9588 $/kWh"
53,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"14,9513 $/kWh"
54,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"14,9449 $/kWh"
55,DIST. MUNICIPALES (Usuarios finales Suministros entre 10 y 300kW de Demanda),
56,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"14,9588 $/kWh"
57,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"14,9513 $/kWh"
58,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"14,9449 $/kWh"
59,DIST. MUNICIPALES (Usuarios finales Suministros Mayor o igual a 300 kW de Demanda),
60,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"14,9588 $/kWh"
61,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"14,9513 $/kWh"
62,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"14,9449 $/kWh"
63,USUARIOS FINALES Suministros entre 50 y 300kW de Demanda,
64,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"15,2621 $/kWh"
65,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"15,2546 $/kWh"
66,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"15,2483 $/kWh"
67,USUARIOS FINALES Suministros Mayor o igual a 300 kW de Demanda,
68,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"15,2782 $/kWh"
69,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"15,2726 $/kWh"
70,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"15,2660 $/kWh"
