,CARGO POR POTENCIA EN PICO,"343,77 $/kW-mes"
0,CARGO POR POTENCIA FUERA PICO,"258,40 $/kW-mes"
1,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),
2,CARGO FIJO,"1.811,50 $/mes"
3,CARGO POR POTENCIA EN PICO,"123,12 $/kW-mes"
4,CARGO POR POTENCIA FUERA PICO,"5 2,76 $/kW-mes"
5,GOS VARIABLES,
6,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4R.),
7,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2,2576 $/kWh"
8,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,1661 $/kWh"
9,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,0746 $/kWh"
10,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4NR.),
11,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2,5384 $/kWh"
12,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,4376 $/kWh"
13,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,3367 $/kWh"
14,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales),
15,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2,2576 $/kWh"
16,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,1661 $/kWh"
17,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,0746 $/kWh"
18,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.No Res),
19,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2,5384 $/kWh"
20,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,4376 $/kWh"
21,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,3367 $/kWh"
22,DISTRIBUIDORES MUNICIPALES(Alumbrado Público),
23,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2,5384 $/kWh"
24,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,4376 $/kWh"
25,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,3367 $/kWh"
26,DIST. MUNICIPALES (Usuarios finales Suministros entre 10 y 300kW de Demanda),
27,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2,5384 $/kWh"
28,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,4376 $/kWh"
29,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,3367 $/kWh"
30,DIST. MUNICIPALES (Usuarios finales Suministros Mayor o igual a 300 kW de Demanda),
31,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"8,7400 $/kWh"
32,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"8,7348 $/kWh"
33,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"8,7296 $/kWh"
34,USUARIOS FINALES Suministros entre 50 y 300kW de Demanda,
