,TARIFA T1R,"125,09",$
0,TARIFA T1RE,"187,46",$
1,TARIFA T1G BC y AC,"738,15",$
2,TARIFA T1GE,"738,15",$
3,TATIFA 1AP,"738,15",$
4,TARIFAS 2,"1.814,36",$
5,TARIFAS 3,"2.267,83",$
6,TARIFA 4,"738,15",$
7,POR SERVICIO DE CONEXION,,
8,EXIONES AEREAS,,
9,MONOFASICAS,,
10,TARIFA T1R,"995,36",$
11,TARIFA T1RE,"1.058,74",$
12,TARIFA T1G BC,"1.197,46",$
13,TARIFA T1G AC,"1.197,46",$
14,TARIFA T1GE,"1.697,55",$
15,TATIFA 1AP,"1.197,46",$
16,TARIFAS 2,-,$
17,TARIFAS 3,-,$
18,TARIFA 4,"1.323,34",$
19,TRIFASICAS,,
20,TARIFA T1R,"2.272,58",$
21,TARIFA T1RE,"2.865,78",$
22,TARIFA T1G BC,"3.645,20",$
23,TARIFA T1G AC,"3.645,20",$
24,TARIFA T1GE,"4.596,23",$
25,TATIFA 1AP,"3.645,20",$
26,TARIFAS 2,"5.475,98",$
27,TARIFAS 3,"8.213,98",$
28,TARIFA 4,"3.581,31",$
29,EXIONES SUBTERRANEAS,,
30,MONOFASICAS,,
31,TARIFA T1R,"2.272,58",$
32,TARIFA T1RE,"2.865,78",$
33,TARIFA T1G BC,"3.645,20",$
34,TARIFA T1G AC,"3.645,20",$
35,TARIFA T1GE,"4.596,23",$
36,TATIFA 1AP,"3.645,20",$
37,TARIFAS 2,-,$
38,TARIFAS 3,-,$
39,TARIFA 4,"3.581,31",$
40,TRIFASICAS,,
41,TARIFA T1R,"3.011,85",$
42,TARIFA T1RE,"3.468,11",$
43,TARIFA T1G BC,"4.829,82",$
44,TARIFA T1G AC,"4.829,82",$
45,TARIFA T1GE,"5.561,72",$
46,TATIFA 1AP,"4.829,82",$
47,TARIFAS 2,"7.757,69",$
48,TARIFAS 3,"11.682,10",$
49,TARIFA 4,"4.335,19",$
50,GOS POR CONTRASTE DE MEDIDORES DE ENERGIA,,
51,MONOFASICO,,
52,Pequeñas in situ,"152,43",$
53,Pequeñas en Laboratorio,"190,54",$
54,TRIFASICO,,
55,Pequeñas in situ,"228,63",$
56,Pequeñas en Laboratorio,"342,96",$
57,Medianas y grandes demandas in situ,"846,81",$
58,Medianas y grandes demandas en Laboratorio,"1.143,22",$
