,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,3102",$/kWh
0,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,2971",$/kWh
1,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,2840",$/kWh
2,USUARIOS FINALES Org. Púb.(SALUD/EDUCACIÓN) Suministros Mayor o igual a 300 kW de Demanda,
3,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,3246",$/kWh
4,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,3116",$/kWh
5,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,2987",$/kWh
6,T - SUMINISTROS EN MEDIA TENSIÓN (Nota *),
7,SUMINISTROS >= a 50 kW de demanda (Usuarios Finales),
8,"CARGO FIJO 530,10",$/mes
9,"CARGO POR POTENCIA EN PICO 358,01",$/kW-mes
10,"CARGO POR POTENCIA FUERA PICO 236,53",$/kW-mes
11,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),
12,"CARGO FIJO 423,73",$/mes
13,"CARGO POR POTENCIA EN PICO 104,72",$/kW-mes
14,"CARGO POR POTENCIA FUERA PICO 44,88",$/kW-mes
15,GOS VARIABLES,
16,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4R.),
17,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,1392 $/kWh",
18,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,1333 $/kWh",
19,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,1273 $/kWh",
20,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4NR.),
21,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,1879 $/kWh",
22,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,1800 $/kWh",
23,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,1720 $/kWh",
24,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales),
25,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,1392 $/kWh",
26,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,1333 $/kWh",
27,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,1273 $/kWh",
28,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.No Res),
29,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,1879 $/kWh",
30,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,1800 $/kWh",
31,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,1720 $/kWh",
32,DISTRIBUIDORES MUNICIPALES(Alumbrado Público),
33,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,1879 $/kWh",
34,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,1800 $/kWh",
35,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,1720 $/kWh",
36,DIST. MUNICIPALES (Usuarios finales Suministros entre 10 y 300kW de Demanda),
37,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,1879 $/kWh",
38,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,1800 $/kWh",
39,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,1720 $/kWh",
40,DIST. MUNICIPALES ( Usuarios finales Org. Púb.(SALUD/EDUCACIÓN) Suministros Mayor o igual a 300 kW de Demanda ),
41,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,1965 $/kWh",
42,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,1887 $/kWh",
43,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,1808 $/kWh",
44,USUARIOS FINALES Suministros entre 50 y 300kW de Demanda,
45,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,1886",$/kWh
46,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,1805",$/kWh
47,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,1727",$/kWh
48,USUARIOS FINALES Org. Púb.(SALUD/EDUCACIÓN) Suministros Mayor o igual a 300 kW de Demanda,
49,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,1970",$/kWh
50,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,1890",$/kWh
51,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,1810",$/kWh
