,CARGO FIJO R1,Unnamed: 0,"157,49",$/mes
0,CARGO VARIABLE R1(consumo en kWH-Mes ≤ 100),,"19,9536",$/kWh
1,CARGO FIJO R2,,"241,00",$/mes
2,CARGO VARIABLE R2 ( 100 < consumo en kWH-Mes ≤ 200),,"20,1204",$/kWh
3,CARGO FIJO R3,,"328,64",$/mes
4,CARGO VARIABLE R3 ( 200 < consumo en kWH-Mes ≤ 400),,"20,5063",$/kWh
5,CARGO FIJO R4,,"407,96",$/mes
6,CARGO VARIABLE R4 ( 400 < consumo en kWH-Mes ≤ 500),,"20,7984",$/kWh
7,CARGO FIJO R5,,"654,29",$/mes
8,CARGO VARIABLE R5 ( 500 < consumo en kWH-Mes ≤ 700),,"21,1045",$/kWh
9,CARGO FIJO R6,,"1.059,22",$/mes
10,CARGO VARIABLE R6 ( 700 < consumo en kWH-Mes ≤ 1400),,"21,5497",$/kWh
11,CARGO FIJO R7,,"1.292,99",$/mes
