,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"9,1544 $/kWh"
0,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"9,1494 $/kWh"
1,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"9,1436 $/kWh"
2,T - SUMINISTROS EN MEDIA TENSIÓN,
3,SUMINISTROS >= a 50 kW de demanda (Usuarios Finales),
4,CARGO FIJO,"1.796,58 $/mes"
5,CARGO POR POTENCIA EN PICO,"530,59 $/kW-me"
6,CARGO POR POTENCIA FUERA PICO,"329,15 $/kW-me"
7,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),
8,CARGO FIJO,"1.578,68 $/mes"
9,CARGO POR POTENCIA EN PICO,"299,68 $/kW-me"
10,CARGO POR POTENCIA FUERA PICO,"128,43 $/kW-me"
11,GOS VARIABLES,
12,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4R.),
13,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"8,7403 $/kWh"
14,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"8,7349 $/kWh"
15,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"8,7294 $/kWh"
16,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4NR.),
17,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"8,7403 $/kWh"
18,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"8,7349 $/kWh"
19,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"8,7294 $/kWh"
20,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales),
21,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"8,7403 $/kWh"
22,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"8,7349 $/kWh"
23,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"8,7294 $/kWh"
24,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.No Res),
25,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"8,7403 $/kWh"
26,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"8,7349 $/kWh"
27,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"8,7294 $/kWh"
28,DISTRIBUIDORES MUNICIPALES(Alumbrado Público),
29,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"8,7403 $/kWh"
30,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"8,7349 $/kWh"
31,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"8,7294 $/kWh"
32,DIST. MUNICIPALES (Usuarios finales Suministros entre 10 y 300kW de Demanda),
33,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"8,7403 $/kWh"
34,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"8,7349 $/kWh"
35,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"8,7294 $/kWh"
36,DIST. MUNICIPALES (Usuarios finales Suministros Mayor o igual a 300 kW de Demanda),
37,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"8,7403 $/kWh"
38,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"8,7349 $/kWh"
39,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"8,7294 $/kWh"
40,USUARIOS FINALES Suministros entre 50 y 300kW de Demanda,
41,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"8,9214 $/kWh"
42,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"8,9160 $/kWh"
43,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"8,9106 $/kWh"
44,USUARIOS FINALES Suministros Mayor a 300 kW de Demanda,
45,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"8,9353 $/kWh"
46,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"8,9305 $/kWh"
47,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"8,9247 $/kWh"
48,T - SUMINISTROS EN ALTA TENSIÓN,
49,CARGO FIJO,$/mes
50,CARGO POR POTENCIA EN PICO,$/kW-me
51,CARGO POR POTENCIA FUERA PICO,$/kW-me
52,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,$/kWh
53,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,$/kWh
54,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,$/kWh
55,QUEÑAS DEMANDAS RURALES (menos de 10 kW de potencia),
56,- PEQUEÑAS DEMANDAS RURALES RESIDENCIALES,
57,CARGO FIJO T4R1,"578,67 $/mes"
58,CARGO VARIABLE T4R1 (consumo en kWH-Mes ≤ 500),"12,1293 $/kWh"
