,CARGO POR POTENCIA EN PICO,"359,92 $/kW-mes"
0,CARGO POR POTENCIA FUERA PICO,"256,01 $/kW-mes"
1,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),
2,CARGO FIJO,"1.578,68 $/mes"
3,CARGO POR POTENCIA EN PICO,"129,02 $/kW-mes"
4,CARGO POR POTENCIA FUERA PICO,"5 5,29 $/kW-mes"
5,GOS VARIABLES,
6,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4R.),
7,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2,2576 $/kWh"
8,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,1661 $/kWh"
9,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,0746 $/kWh"
10,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4NR.),
11,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2,5384 $/kWh"
12,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,4376 $/kWh"
13,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,3367 $/kWh"
14,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales),
15,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2,2576 $/kWh"
16,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,1661 $/kWh"
17,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,0746 $/kWh"
18,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.No Res),
19,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2,5384 $/kWh"
20,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,4376 $/kWh"
21,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,3367 $/kWh"
22,DISTRIBUIDORES MUNICIPALES(Alumbrado Público),
23,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2,5384 $/kWh"
24,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,4376 $/kWh"
25,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,3367 $/kWh"
26,DIST. MUNICIPALES (Usuarios finales Suministros entre 10 y 300kW de Demanda),
27,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2,5384 $/kWh"
28,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,4376 $/kWh"
29,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,3367 $/kWh"
30,DIST. MUNICIPALES (Usuarios finales Suministros Mayor o igual a 300 kW de Demanda),
31,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"8,7400 $/kWh"
32,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"8,7348 $/kWh"
33,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"8,7296 $/kWh"
34,USUARIOS FINALES Suministros entre 50 y 300kW de Demanda,
35,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2,7196 $/kWh"
36,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,6187 $/kWh"
37,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,5178 $/kWh"
38,USUARIOS FINALES Suministros Mayor a 300 kW de Demanda,
39,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"8,9350 $/kWh"
40,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"8,9305 $/kWh"
41,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"8,9249 $/kWh"
42,T - SUMINISTROS EN ALTA TENSIÓN,
43,CARGO FIJO,$/mes
44,CARGO POR POTENCIA EN PICO,$/kW-mes
45,CARGO POR POTENCIA FUERA PICO,$/kW-mes
46,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,$/kWh
47,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,$/kWh
48,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,$/kWh
49,QUEÑAS DEMANDAS RURALES (menos de 10 kW de potencia),
50,- PEQUEÑAS DEMANDAS RURALES RESIDENCIALES,
51,CARGO FIJO T4R1,"578,67 $/mes"
52,CARGO VARIABLE T4R1 (consumo en kWH-Mes ≤ 500),"4,1401 $/kWh"
53,CARGO FIJO T4R2,"747,21 $/mes"
54,CARGO VARIABLE T4R2 ( 500 < consumo en kWH-Mes ≤ 700),"4,3946 $/kWh"
55,CARGO FIJO T4R3,"922,10 $/mes"
56,CARGO VARIABLE T4R3 ( 700 < consumo en kWH-Mes ≤ 1400),"4,5941 $/kWh"
57,CARGO FIJO T4R4,"1.033,39 $/mes"
58,CARGO VARIABLE T4R4(consumo en kWH-Mes > 1400),"5,0095 $/kWh"
59,R- PEQUEÑAS DEMANDAS RURALES NO RESIDENCIALES,
60,CARGO FIJO T4NR1,"578,67 $/mes"
61,CARGO VARIABLE T4NR1 (consumo en kWH-Mes ≤ 500),"4,5621 $/kWh"
62,CARGO FIJO T4NR2,"747,21 $/mes"
63,CARGO VARIABLE T4NR2 ( 500 < consumo en kWH-Mes ≤ 700),"4,8507 $/kWh"
64,CARGO FIJO T4NR3,"922,10 $/mes"
65,CARGO VARIABLE T4NR3 ( 700 < consumo en kWH-Mes ≤ 1400),"5,0836 $/kWh"
66,CARGO FIJO T4NR4,"1.033,39 $/mes"
67,CARGO VARIABLE T4NR4(consumo en kWH-Mes > 1400),"5,5588 $/kWh"
68,TABLA DE PERDIDAS DE TRANSFORMACION CLIENTES RURALES,
69,5 KVA monofásico,27 kWh/mes
70,10 KVA monofásico,43 kWh/mes
71,15 KVA monofásico,52 kWh/mes
72,16 KVA monofásico,57 kWh/mes
73,10 KVA trifásico,70 kWh/mes
74,15 KVA trifásico,86 kWh/mes
75,16 KVA trifásico,91 kWh/mes
76,20 KVA trifásico,108 kWh/mes
77,25 KVA trifásico,124 kWh/mes
78,30 KVA trifásico,136 kWh/mes
79,40 KVA trifásico,166 kWh/mes
80,50 KVA trifásico,186 kWh/mes
81,63 KVA trifásico,216 kWh/mes
82,100 KVA trifásico,251 kWh/mes
83,RVICIO DE PEAJE( para Distribuidores Municipales),
84,T - SUMINISTROS EN BAJA TENSIÓN,
85,SUMINISTROS >= a 50 kW de demanda (Usuarios Finales),
86,CARGO FIJO,"262,15 $/mes"
87,CARGO POR POTENCIA EN PICO,"423,86 $/kW-mes"
88,CARGO POR POTENCIA FUERA PICO,"243,80 $/kW-mes"
89,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),
90,CARGO FIJO,"208,44 $/mes"
91,CARGO POR POTENCIA EN PICO,"134,55 $/kW-mes"
92,CARGO POR POTENCIA FUERA PICO,"6 1,69 $/kW-mes"
