,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1612 $/kWh"
0,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1547 $/kWh"
1,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,1484 $/kWh"
2,USUARIOS FINALES Suministros Mayor a 300 kW de Demanda,
3,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,5548 $/kWh"
4,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,5545 $/kWh"
5,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,5543 $/kWh"
6,T - SUMINISTROS EN MEDIA TENSIÓN,
7,SUMINISTROS >= a 50 kW de demanda (Usuarios Finales),
8,CARGO FIJO,"395,00 $/mes"
9,CARGO POR POTENCIA EN PICO,"267,49 $/kW-mes"
10,CARGO POR POTENCIA FUERA PICO,"176,56 $/kW-mes"
11,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),
12,CARGO FIJO,"315,74 $/mes"
13,CARGO POR POTENCIA EN PICO,"7 9,34 $/kW-mes"
14,CARGO POR POTENCIA FUERA PICO,"3 4,00 $/kW-mes"
15,GOS VARIABLES,
16,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4R.),
17,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,0868 $/kWh"
18,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,0833 $/kWh"
19,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0798 $/kWh"
20,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4NR.),
21,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,0976 $/kWh"
22,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,0938 $/kWh"
23,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0899 $/kWh"
24,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales),
25,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,0868 $/kWh"
26,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,0833 $/kWh"
27,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0798 $/kWh"
28,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.No Res),
29,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,0976 $/kWh"
30,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,0938 $/kWh"
31,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0899 $/kWh"
32,DISTRIBUIDORES MUNICIPALES(Alumbrado Público),
33,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,0976 $/kWh"
34,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,0938 $/kWh"
35,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0899 $/kWh"
36,DIST. MUNICIPALES (Usuarios finales Suministros entre 10 y 300kW de Demanda),
37,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,0976 $/kWh"
38,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,0938 $/kWh"
39,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0899 $/kWh"
40,DIST. MUNICIPALES (Usuarios finales Suministros Mayor o igual a 300 kW de Demanda),
41,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,3362 $/kWh"
42,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,3360 $/kWh"
43,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,3358 $/kWh"
44,USUARIOS FINALES Suministros entre 50 y 300kW de Demanda,
45,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,0981 $/kWh"
46,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,0941 $/kWh"
47,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0904 $/kWh"
48,USUARIOS FINALES Suministros Mayor a 300 kW de Demanda,
49,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,3365 $/kWh"
50,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,3362 $/kWh"
51,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,3359 $/kWh"
