,Cargo Variable 151-325,$/kWh,"4,8981"
0,Cargo Fijo 326-400,$/mes,"406,31"
1,Cargo Variable 326-400,$/kWh,"4,9421"
2,Cargo Fijo 401-450,$/mes,"541,26"
3,Cargo Variable 401-450,$/kWh,"5,0934"
4,Cargo Fijo 451-500,$/mes,"639,48"
5,Cargo Variable 451-500,$/kWh,"5,1770"
6,Cargo Fijo 501-600,$/mes,"1.046,91"
7,Cargo Variable 501-600,$/kWh,"5,5277"
8,Cargo Fijo 601-700,$/mes,"1.423,74"
9,Cargo Variable 601-700,$/kWh,"5,7912"
10,Cargo Fijo 701-1400,$/mes,"2.034,94"
11,Cargo Variable 701-1400,$/kWh,"5,9569"
12,Cargo Fijo +1400,$/mes,"2.433,68"
13,Cargo Variable +1400,$/kWh,"5,9912"
14,Cargo Fijo,$/mes,"380,33"
15,Cargo Variable,$/kWh,"8,0985"
16,Cargo Fijo,$/mes,"2.773,83"
17,Cargo Variable,$/kWh,"7,6061"
18,Cargo Fijo,$/mes,"7.713,34"
19,Cargo Variable,$/kWh,"7,1971"
20,Cargo Variable,$/kWh,"6,6060"
