,Cargo Variable Pico,$/kWh,"16,7717"
0,Cargo Variable Resto,$/kWh,"16,7651"
1,Cargo Variable Valle,$/kWh,"16,7580"
2,Tarifa 3 - MT >= 300 kW,,
3,Cargo Pot. Pico,$/kW-mes,"707,31"
4,Cargo Pot. F. Pico,$/kW-mes,"293,13"
5,Cargo Variable Pico,$/kWh,"15,1622"
6,Cargo Variable Resto,$/kWh,"15,1565"
7,Cargo Variable Valle,$/kWh,"15,1500"
8,Tarifa 3 - AT >= 300 kW,,
9,Cargo Pot. Pico,$/kW-mes,"423,93"
10,Cargo Pot. F. Pico,$/kW-mes,"74,17"
11,Cargo Variable Pico,$/kWh,"14,4666"
12,Cargo Variable Resto,$/kWh,"14,4594"
13,Cargo Variable Valle,$/kWh,"14,4532"
14,Tarifa 4 - Residencial,,
15,Cargo Fijo 0-325,$/mes,"752,84"
16,Cargo Variable 0-325,$/kWh,"15,8083"
17,Cargo Fijo 326-500,$/mes,"1.111,01"
18,Cargo Variable 326-500,$/kWh,"16,0155"
19,Cargo Fijo 501-700,$/mes,"1.825,11"
20,Cargo Variable 501-700,$/kWh,"16,3022"
21,Cargo Fijo +700,$/mes,"2.471,12"
22,Cargo Variable +700,$/kWh,"16,3436"
23,Tarifa 4 - No Residencial,,
24,Cargo Fijo 0-325,$/mes,"752,84"
25,Cargo Variable 0-325,$/kWh,"15,8083"
26,Cargo Fijo 326-500,$/mes,"1.111,01"
27,Cargo Variable 326-500,$/kWh,"16,0155"
28,Cargo Fijo 501-700,$/mes,"1.825,11"
29,Cargo Variable 501-700,$/kWh,"16,3022"
30,Cargo Fijo +700,$/mes,"2.471,12"
31,Cargo Variable +700,$/kWh,"16,3436"
