,Cargo Variable 151-325,$/kWh,"10,8632"
0,Cargo Fijo 326-400,$/mes,"570,45"
1,Cargo Variable 326-400,$/kWh,"10,8960"
2,Cargo Fijo 401-450,$/mes,"671,01"
3,Cargo Variable 401-450,$/kWh,"11,0087"
4,Cargo Fijo 451-500,$/mes,"744,21"
5,Cargo Variable 451-500,$/kWh,"11,0709"
6,Cargo Fijo 501-600,$/mes,"1.047,80"
7,Cargo Variable 501-600,$/kWh,"11,3323"
8,Cargo Fijo 601-700,$/mes,"1.328,60"
9,Cargo Variable 601-700,$/kWh,"11,5286"
10,Cargo Fijo 701-1400,$/mes,"1.784,04"
11,Cargo Variable 701-1400,$/kWh,"11,6521"
12,Cargo Fijo +1400,$/mes,"2.081,16"
13,Cargo Variable +1400,$/kWh,"11,6776"
14,Cargo Fijo,$/mes,"435,96"
15,Cargo Variable,$/kWh,"12,1773"
16,Cargo Fijo,$/mes,"3.185,55"
17,Cargo Variable,$/kWh,"11,8157"
18,Cargo Fijo,$/mes,"8.738,60"
19,Cargo Variable,$/kWh,"11,5145"
20,Cargo Variable,$/kWh,"12,1626"
