,CARGO VARIABLE R1 ( consumo en kWH-Mes hasta 100),"1,4091",$/kWh
0,CARGO FIJO R2 ( 100 < consumo en kWH-Mes ≤ 150),"9 6,09",$/mes
1,CARGO VARIABLE R2 ( 100 < consumo en kWH-Mes ≤ 150 o primeros 150),"1,5809",$/kWh
2,CARGO FIJO R2 ( 150 < consumo en kWH-Mes ≤ 200),"269,26",$/mes
3,CARGO VARIABLE R2 ( 150 < consumo en kWH-Mes ≤ 200),"4,8454",$/kWh
4,CARGO FIJO R3 ( 200 < consumo en kWH-Mes ≤ 300),"367,08",$/mes
5,CARGO VARIABLE R3 ( 200 < consumo en kWH-Mes ≤ 300 o siguientes 150),"5,2626",$/kWh
6,CARGO FIJO R3 ( 300 < consumo en kWH-Mes ≤ 400),"367,08",$/mes
7,CARGO VARIABLE R3 (300 < consumo en kWH-Mes ≤ 400 ),"7,0475",$/kWh
8,CARGO FIJO R4  ( 400 < consumo en kWH-Mes ≤ 500),"455,55",$/mes
9,CARGO VARIABLE R4 ( 400 < consumo en kWH-Mes ≤ 500),"7,3387",$/kWh
10,CARGO FIJO R5,"730,36",$/mes
11,CARGO VARIABLE R5 ( 500 < consumo en kWH-Mes ≤ 700),"7,7720",$/kWh
12,CARGO FIJO R6,"1.182,13",$/mes
13,CARGO VARIABLE R6 ( 700 < consumo en kWH-Mes ≤ 1400),"8,2697",$/kWh
14,CARGO FIJO R7,"1.442,94",$/mes
15,CARGO VARIABLE R7(consumo en kWH-Mes > 1400),"8,9426",$/kWh
16,ANDES DEMANDAS,,
17,T - SUMINISTROS EN BAJA TENSIÓN,,
18,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),,
19,CARGO FIJO,"1.604,48",$/mes
20,CARGO POR POTENCIA EN PICO,"247,09",$/kW-mes
21,CARGO POR POTENCIA FUERA PICO,"105,89",$/kW-mes
22,GOS VARIABLES,,
23,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4R.),,
24,Consumo en kWH-Mes primeros 150,,
