,CARGO FIJO R1,Unnamed: 0,"176,12",$/mes
0,CARGO VARIABLE R1(consumo en kWH-Mes ≤ 100),,"19,9380",$/kWh
1,CARGO FIJO R2,,"269,26",$/mes
2,CARGO VARIABLE R2 ( 100 < consumo en kWH-Mes ≤ 200),,"20,3310",$/kWh
3,CARGO FIJO R3,,"367,08",$/mes
4,CARGO VARIABLE R3 ( 200 < consumo en kWH-Mes ≤ 400),,"20,6807",$/kWh
5,CARGO FIJO R4,,"455,55",$/mes
6,CARGO VARIABLE R4 ( 400 < consumo en kWH-Mes ≤ 500),,"20,9049",$/kWh
7,CARGO FIJO R5,,"730,36",$/mes
8,CARGO VARIABLE R5 ( 500 < consumo en kWH-Mes ≤ 700),,"21,3382",$/kWh
9,CARGO FIJO R6,,"1.182,13",$/mes
10,CARGO VARIABLE R6 ( 700 < consumo en kWH-Mes ≤ 1400),,"21,8359",$/kWh
11,CARGO FIJO R7,,"1.442,94",$/mes
