,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,5551 $/kWh"
0,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,5547 $/kWh"
1,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,5546 $/kWh"
2,T - SUMINISTROS EN MEDIA TENSIÓN,
3,SUMINISTROS >= a 50 kW de demanda (Usuarios Finales),
4,CARGO FIJO,"453,27 $/mes"
5,CARGO POR POTENCIA EN PICO,"291,17 $/kW-mes"
6,CARGO POR POTENCIA FUERA PICO,"194,53 $/kW-mes"
7,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),
8,CARGO FIJO,"362,31 $/mes"
9,CARGO POR POTENCIA EN PICO,"8 0,63 $/kW-mes"
10,CARGO POR POTENCIA FUERA PICO,"3 4,56 $/kW-mes"
11,GOS VARIABLES,
12,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4R.),
13,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,3362 $/kWh"
14,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,3360 $/kWh"
15,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,3357 $/kWh"
16,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4NR.),
17,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,3362 $/kWh"
18,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,3360 $/kWh"
19,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,3357 $/kWh"
20,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales),
21,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,3362 $/kWh"
22,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,3360 $/kWh"
23,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,3357 $/kWh"
24,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.No Res),
25,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,3362 $/kWh"
26,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,3360 $/kWh"
27,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,3357 $/kWh"
28,DISTRIBUIDORES MUNICIPALES(Alumbrado Público),
29,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,3362 $/kWh"
30,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,3360 $/kWh"
31,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,3357 $/kWh"
32,DIST. MUNICIPALES (Usuarios finales Suministros entre 10 y 300kW de Demanda),
33,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,3362 $/kWh"
34,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,3360 $/kWh"
35,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,3357 $/kWh"
36,DIST. MUNICIPALES (Usuarios finales Suministros Mayor o igual a 300 kW de Demanda),
37,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,3362 $/kWh"
38,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,3360 $/kWh"
39,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,3357 $/kWh"
40,USUARIOS FINALES Suministros entre 50 y 300kW de Demanda,
41,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,3369 $/kWh"
42,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,3365 $/kWh"
43,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,3365 $/kWh"
44,USUARIOS FINALES Suministros Mayor a 300 kW de Demanda,
45,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,3369 $/kWh"
46,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,3364 $/kWh"
47,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,3361 $/kWh"
48,T - SUMINISTROS EN ALTA TENSIÓN,
49,CARGO FIJO,$/mes
50,CARGO POR POTENCIA EN PICO,$/kW-mes
51,CARGO POR POTENCIA FUERA PICO,$/kW-mes
52,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,$/kWh
53,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,$/kWh
54,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,$/kWh
55,RVICIO DE PEAJE A USUARIOS DE MEDIANAS DEMANDAS,
56,T - SUMINISTROS EN BAJA TENSIÓN,
57,CARGO FIJO,"766,51 $/mes"
