,Country,Utility,Document_link,Date_start,Date_end,$local,Component,Unit,Charge,Tariff_code
1,Argentina,EDENOR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0A852DD6B52020210325823B005E0586?opendocument,2017-08-01,2017-08-31,ARS,Cargo Fijo hasta 0-150,$/mes,9.92,Tarifa 1 -R1 Tarifa Social con ahorro
2,Argentina,EDENOR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0A852DD6B52020210325823B005E0586?opendocument,2017-08-01,2017-08-31,ARS,Cargo Variable 0-150,$/kWh,0.0,Tarifa 1 -R1 Tarifa Social con ahorro
1,Argentina,EDENOR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0A852DD6B52020210325823B005E0586?opendocument,2017-08-01,2017-08-31,ARS,Cargo Fijo hasta 0-150,$/mes,9.92,"Tarifa 1 -R1 Tarifa Social sin ahorro excedente 150 kWh/mes, por el consumo hasta 600 kWh/mes"
2,Argentina,EDENOR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0A852DD6B52020210325823B005E0586?opendocument,2017-08-01,2017-08-31,ARS,Cargo Variable 0-150,$/kWh,0.0,"Tarifa 1 -R1 Tarifa Social sin ahorro excedente 150 kWh/mes, por el consumo hasta 600 kWh/mes"
1,Argentina,EDENOR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0A852DD6B52020210325823B005E0586?opendocument,2017-08-01,2017-08-31,ARS,Cargo Fijo hasta 0-150,$/mes,,Tarifa 1 -R1 Tarifa Social sin ahorro por el excedente de 600 kWh/mes
2,Argentina,EDENOR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0A852DD6B52020210325823B005E0586?opendocument,2017-08-01,2017-08-31,ARS,Cargo Variable 0-150,$/kWh,,Tarifa 1 -R1 Tarifa Social sin ahorro por el excedente de 600 kWh/mes
1,Argentina,EDESUR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0A852DD6B52020210325823B005E0586?opendocument,2017-08-01,2017-08-31,ARS,Cargo Fijo hasta 0-150,$/mes,11.04,Tarifa 1 -R1 Tarifa Social con ahorro
2,Argentina,EDESUR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0A852DD6B52020210325823B005E0586?opendocument,2017-08-01,2017-08-31,ARS,Cargo Variable 0-150,$/kWh,0.0,Tarifa 1 -R1 Tarifa Social con ahorro
1,Argentina,EDESUR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0A852DD6B52020210325823B005E0586?opendocument,2017-08-01,2017-08-31,ARS,Cargo Fijo hasta 0-150,$/mes,11.04,"Tarifa 1 -R1 Tarifa Social sin ahorro excedente 150 kWh/mes, por el consumo hasta 600 kWh/mes"
2,Argentina,EDESUR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0A852DD6B52020210325823B005E0586?opendocument,2017-08-01,2017-08-31,ARS,Cargo Variable 0-150,$/kWh,0.0,"Tarifa 1 -R1 Tarifa Social sin ahorro excedente 150 kWh/mes, por el consumo hasta 600 kWh/mes"
1,Argentina,EDESUR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0A852DD6B52020210325823B005E0586?opendocument,2017-08-01,2017-08-31,ARS,Cargo Fijo hasta 0-150,$/mes,,Tarifa 1 -R1 Tarifa Social sin ahorro por el excedente de 600 kWh/mes
2,Argentina,EDESUR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0A852DD6B52020210325823B005E0586?opendocument,2017-08-01,2017-08-31,ARS,Cargo Variable 0-150,$/kWh,,Tarifa 1 -R1 Tarifa Social sin ahorro por el excedente de 600 kWh/mes
