,Country,Utility,Document_link,Date_start,Date_end,$local,Component,Unit,Charge,Tariff_code
0,Argentina,EDENOR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0AC033A95201E95B032588BC004F9B58?opendocument,2022-09-01,2022-09-30,ARS,Cargo Fijo 0-150,$/mes,62.24,R1
1,Argentina,EDENOR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0AC033A95201E95B032588BC004F9B58?opendocument,2022-09-01,2022-09-30,ARS,Cargo Variable 0-150,$/kWh,6.826,R1
0,Argentina,EDESUR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0AC033A95201E95B032588BC004F9B58?opendocument,2022-09-01,2022-09-30,ARS,Cargo Fijo 0-150,$/mes,61.44,R1
1,Argentina,EDESUR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0AC033A95201E95B032588BC004F9B58?opendocument,2022-09-01,2022-09-30,ARS,Cargo Variable 0-150,$/kWh,6.831,R1
0,Argentina,EDENOR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0AC033A95201E95B032588BC004F9B58?opendocument,2022-09-01,2022-09-30,ARS,Cargo Fijo 151-325,$/mes,122.82,R2
1,Argentina,EDENOR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0AC033A95201E95B032588BC004F9B58?opendocument,2022-09-01,2022-09-30,ARS,Cargo Variable 151-325,$/kWh,6.856,R2
0,Argentina,EDESUR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0AC033A95201E95B032588BC004F9B58?opendocument,2022-09-01,2022-09-30,ARS,Cargo Fijo 151-325,$/mes,118.74,R2
1,Argentina,EDESUR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0AC033A95201E95B032588BC004F9B58?opendocument,2022-09-01,2022-09-30,ARS,Cargo Variable 151-325,$/kWh,6.847,R2
0,Argentina,EDENOR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0AC033A95201E95B032588BC004F9B58?opendocument,2022-09-01,2022-09-30,ARS,Cargo Fijo 326-400,$/mes,199.95,R3
1,Argentina,EDENOR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0AC033A95201E95B032588BC004F9B58?opendocument,2022-09-01,2022-09-30,ARS,Cargo Variable 326-400,$/kWh,6.943,R3
0,Argentina,EDESUR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0AC033A95201E95B032588BC004F9B58?opendocument,2022-09-01,2022-09-30,ARS,Cargo Fijo 326-400,$/mes,192.29,R3
1,Argentina,EDESUR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0AC033A95201E95B032588BC004F9B58?opendocument,2022-09-01,2022-09-30,ARS,Cargo Variable 326-400,$/kWh,6.93,R3
0,Argentina,EDENOR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0AC033A95201E95B032588BC004F9B58?opendocument,2022-09-01,2022-09-30,ARS,Cargo Fijo 401-450,$/mes,227.61,R4
