,COD,Agente,Categoria do Agente,Tipo de Processo,Data de Aniversario,Status Resultado,link
0,7019,AME,Concessionária de Distribuição,Reajuste,01/11/2021,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/7019 PCAT AmE 2021 V02.xlsx
1,7019,AME,Concessionária de Distribuição,Revisão,01/11/2020,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/7019 PCAT AmE 2020 V02.xlsx
2,7019,AME,Concessionária de Distribuição,Reajuste,01/11/2019,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/7019 PCAT AmE 2019 V02.xlsx
3,7019,AME,Concessionária de Distribuição,Reajuste,01/11/2018,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/PCAT_AmE_2018 .xlsx
4,7019,AME,Concessionária de Distribuição,Reajuste,01/11/2017,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/PCAT_AmE_2017.xlsx
5,7019,AME,Concessionária de Distribuição,Ajuste EER ANGRA III,01/04/2017,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/7019 PCAT AmE 2016 V02.xlsx
6,7019,AME,Concessionária de Distribuição,Reajuste,01/11/2016,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/PCAT_AmE_2016.xlsx
7,7019,AME,Concessionária de Distribuição,Reajuste,01/11/2015,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/PCAT_AmE_2015.xlsx
8,7019,AME,Concessionária de Distribuição,Reajuste,01/11/2014,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/PCAT_AME_2014.xlsx
9,7019,AME,Concessionária de Distribuição,Revisão,01/11/2013,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/PCAT _AME_ 2013.xlsx
10,7019,AME,Concessionária de Distribuição,Revisão Extraordinária,24/01/2013,Definitivo,
11,370,Boa Vista,Concessionária de Distribuição,Reajuste,01/11/2021,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/370 PCAT Roraima Energia 2021 V02.xlsx
12,370,Boa Vista,Concessionária de Distribuição,Revisão Extraordinária,01/11/2020,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/370 PCAT Roraima Energia 2020 V02.xlsx
13,370,Boa Vista,Concessionária de Distribuição,Reajuste,01/11/2019,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/370 PCAT Boa Vista 2019 V02.xlsx
14,370,Boa Vista,Concessionária de Distribuição,Reajuste,01/11/2018,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/PCAT_Boa_Vista_2018 .xlsx
15,370,Boa Vista,Concessionária de Distribuição,Reajuste,01/11/2017,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/PCAT_Boa_Vista_2017.xlsx
16,370,Boa Vista,Concessionária de Distribuição,Reajuste,01/11/2016,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/PCAT_Boa_Vista_2016.xlsx
17,370,Boa Vista,Concessionária de Distribuição,Reajuste,01/11/2015,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/PCAT_BoaVista_2015.xlsx
18,370,Boa Vista,Concessionária de Distribuição,Reajuste,01/11/2014,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/PCAT_BOA_VISTA_2014.xlsx
19,370,Boa Vista,Concessionária de Distribuição,Revisão Extraordinária,24/01/2013,Definitivo,
20,388,CAIUÁ,Concessionária de Distribuição,Reajuste,10/05/2013,Definitivo,
21,31,CEA,Concessionária de Distribuição,Reajuste,13/12/2021,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/31 PCAT CEA 2021 V02.xlsx
