,COD,Agente,Categoria do Agente,Tipo de Processo,Data de Aniversario,Status Resultado,link
0,7019,AME,Concessionária de Distribuição,Reajuste,01/11/2021,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA AME v_15.xlsx
1,7019,AME,Concessionária de Distribuição,Revisão,01/11/2020,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA RTE Amazonas 2020.xlsx
2,7019,AME,Concessionária de Distribuição,Reajuste,01/11/2019,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA Novo Contrato Amazonas 2019 v7.xlsx
3,7019,AME,Concessionária de Distribuição,Reajuste,01/11/2018,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_Amazonas_2018.xlsx
4,7019,AME,Concessionária de Distribuição,Reajuste,01/11/2017,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_0.95.xlsx
5,7019,AME,Concessionária de Distribuição,Ajuste EER ANGRA III,01/04/2017,Definitivo,
6,7019,AME,Concessionária de Distribuição,Reajuste,01/11/2016,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_AmE_2016.xlsx
7,7019,AME,Concessionária de Distribuição,Reajuste,01/11/2015,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_AMAZONAS_2015.xlsx
8,7019,AME,Concessionária de Distribuição,Reajuste,01/11/2014,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_Amazonas_2014.xlsx
9,7019,AME,Concessionária de Distribuição,Revisão,01/11/2013,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_AME _ 2013.xlsx
10,7019,AME,Concessionária de Distribuição,Revisão Extraordinária,24/01/2013,Definitivo,
11,370,Boa Vista,Concessionária de Distribuição,Reajuste,01/11/2021,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA Novo Contrato _RTA2021_Roraima.xlsx
12,370,Boa Vista,Concessionária de Distribuição,Revisão Extraordinária,01/11/2020,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_RTE 2020 - RORAIMA - Final da RTE.xlsm
13,370,Boa Vista,Concessionária de Distribuição,Reajuste,01/11/2019,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA Novo Contrato RTA 2019 Roraima Energia final.xlsx
14,370,Boa Vista,Concessionária de Distribuição,Reajuste,01/11/2018,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_Boa Vista_2018.xlsx
15,370,Boa Vista,Concessionária de Distribuição,Reajuste,01/11/2017,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_BOA_VISTA _2017.xlsx
16,370,Boa Vista,Concessionária de Distribuição,Reajuste,01/11/2016,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_BOA VISTA_2016.xlsx
17,370,Boa Vista,Concessionária de Distribuição,Reajuste,01/11/2015,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_BOA VISTA _2015.xlsx
18,370,Boa Vista,Concessionária de Distribuição,Reajuste,01/11/2014,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_BOA_VISTA_2014.xlsx
19,370,Boa Vista,Concessionária de Distribuição,Revisão Extraordinária,24/01/2013,Definitivo,
